#English Sentences (0-50): 
#Redone based on Deepti Misra Sharma's tagset

#Sentence 1:
survey         k1
found          V
evidence       k2
of             -
an             adj
ancient        adj
civilization   r6
.              PUNC

#Sentence 23
Wildlife      adj
conservation  adj
efforts       k1
have          V
helped        V
save          V
endangered    adj
tigers        k2
.             PUNC

#Sentence 24
Airline       adj
industry      k1
expects       V
a             adj
surge         k2
in            -
summer        adj
holiday       adj
bookings      rs
.             PUNC

#Sentence 25
New           adj
legislation   k1
aims          V
to            rt
protect       V
the           adj
rights        k2
of            -
workers       r6
.             PUNC

#Sentence 26
Remote       adj
work         k1
remains      V
popular      adj
among        -
several      adj
software     adj
development  adj
teams        k7
.            PUNC

#Sentence 27
Interest     adj
rates        k1
might        V
remain       V
steady       adj
until        -
the          adj
next         adj
quarter      k7
.            PUNC

#Sentence 28
The          adj
library      k1
expanded     V
its          adj
digital      adj
collection   k2
for          -
remote       adj
access       k4
.            PUNC

#Sentence 29
Sports       adj
fans         k1
celebrated   V
the          adj
victory      k2
in           -
the          adj
city         adj
center       k7
.            PUNC

#Sentence 30
Agriculture  adj
exports      k1
reached      V
an           adj
all-time     adj
high         k2
this         adj
fiscal       adj
year         k7
.            PUNC

#Sentence 31
Solar        adj
power        adj
plants       k1
are          V
being        V
installed    V
in           -
desert       adj
regions      k7
.            PUNC

#Sentence 32
Music        adj
festivals    k1
are          V
returning    V
after        -
a            adj
two-year     adj
hiatus       k7
.            PUNC

#Sentence 33
Luxury       adj
car          adj
sales        k1
have         V
seen         V
a            adj
significant  adj
increase     k2
recently     adv
.            PUNC

#Sentence 34
The          adj
state        adj
government   k1
launched     V
a            adj
new          adj
health       adj
insurance    adj
scheme       k2
.            PUNC

#Sentence 35
Climate      adj
change       k1
is           V
affecting    V
the          adj
migration    adj
patterns     k2
of           -
birds        r6
.            PUNC

#Sentence 36
Inflation    adj
data         k1
suggests     V
a            adj
cooling      adj
trend        k2
in           -
the          adj
economy      k7
.            PUNC

#Sentence 37
Students     k1
participated V
in           -
a            adj
large-scale  adj
tree         adj
planting     adj
drive        k2
.            PUNC

#Sentence 38
Digital      adj
banking      k1
has          V
become       V
the          adj
preferred    adj
choice       k2
for          -
many         k4
.            PUNC

#Sentence 39
Regional     adj
tensions     k1
have         V
impacted     V
the          adj
local        adj
shipping     adj
routes       k2
.            PUNC

#Sentence 40
The          adj
literary     adj
festival     k1
hosted       V
authors      k2
from         -
across       -
the          adj
world        k5
.            PUNC

#Sentence 41
Space        adj
telescopes   k1
have         V
captured     V
images       k2
of           -
distant      adj
galaxies     r6
.            PUNC

#Sentence 42
Foreign      adj
direct       adj
investment   k1
reached      V
a            adj
new          adj
peak         k2
this         adj
month        k7
.            PUNC

#Sentence 43
The          adj
metro        adj
rail         adj
project      k1
is           V
expected     V
to           rt
finish       V
soon         adv
.            PUNC

#Sentence 44
Ocean        adj
conservation k1
is           V
vital        adj
for          -
maintaining  V
marine       adj
biodiversity k2
.            PUNC

#Sentence 45
The          adj
pharmaceutical adj
company      k1
received     V
approval     k2
for          -
its          adj
new          adj
vaccine      k4
.            PUNC

#Sentence 46
Traditional  adj
crafts       k1
are          V
being        V
promoted     V
through      -
local        adj
cooperatives k3
.            PUNC

#Sentence 47
Virtual      adj
reality      k1
is           V
being        V
used         V
for          -
advanced     adj
medical      adj
training     k4
.            PUNC

#Sentence 48
Gold         adj
prices       k1
edged        V
higher       adv
amid         -
global       adj
economic     adj
uncertainty  k7
.            PUNC

#Sentence 49
The          adj
museum       k1
is           V
hosting      V
a            adj
special      adj
exhibit      k2
on           -
coins        rs
.            PUNC

#Sentence 50
New          adj
robotics     adj
technology   k1
is           V
assisting    V
in           -
complex      adj
surgeries    r7
.            PUNC
